word,count
from,3571
that,2292
with,1642
became,1397
first,1182
territories,1157
taken,1155
which,972
were,883
have,809
tartan,694
their,669
been,543
also,508
name,495
into,473
changed,467
women,464
more,457
openly,446
other,445
party,419
this,409
than,399
abortion,375
such,363
they,360
tartans,338
most,336
would,325
after,320
refer,317
about,305
under,297
caption,295
including,285
transgender,281
years,280
some,279
people,277
only,276
city,272
over,268
right,268
million,267
world,267
woman,264
held,262
time,260
made,253
there,253
government,252
merger,251
annexed,248
between,248
when,247
work,246
used,234
public,233
state,231
could,229
during,228
rights,220
study,219
case,218
since,218
life,216
administration,210
largest,198
against,196
many,196
clan,192
published,190
while,189
because,183
being,182
person,182
elected,178
political,178
through,176
century,171
known,171
both,167
found,167
well,166
before,164
early,164
number,164
employer,161
same,161
members,159
part,159
federal,158
without,157
legal,155
marine,155
later,153
system,152
major,151
these,151
will,151
workers,151
election,149
them,149
must,147
health,143
called,142
countries,141
reported,141
around,139
even,139
three,138
where,138
among,137
species,137
economic,134
based,133
country,133
employees,133
history,132
report,131
said,131
pandemic,130
elections,127
gender,127
announced,125
often,125
several,125
marriage,124
until,123
came,120
global,120
national,120
period,120
large,119
common,118
employment,118
cases,116
each,116
year,116
become,115
discrimination,115
those,115
within,115
general,114
laws,113
union,113
family,112
official,112
decision,111
dress,111
policy,111
population,111
like,110
states,110
include,109
least,109
international,108
water,108
form,107
social,107
article,106
trade,106
court,105
different,105
modern,105
created,103
development,103
making,103
sexual,103
support,103
economy,102
then,101
described,100
pattern,100
pregnancy,100
rape,100
married,98
billion,97
majority,97
member,97
weeks,97
employee,96
passed,96
articles,95
industry,95
patterns,95
result,95
abortions,94
allowed,94
children,94
long,94
much,94
power,92
president,92
should,92
still,92
black,91
office,91
adopted,90
business,90
less,90
section,90
area,89
body,89
employers,89
regional,89
though,89
cloth,88
military,88
campaign,87
change,87
established,87
information,87
similar,87
another,86
sometimes,86
what,86
order,85
thus,85
contract,84
using,84
very,84
local,83
make,82
particular,82
adoption,81
equal,81
white,81
company,80
five,80
illegal,80
late,80
media,80
total,80
action,79
impact,79
program,79
access,78
approved,78
down,78
group,78
term,78
working,78
animals,77
example,77
main,77
organisms,77
place,77
second,77
vote,77
included,76
according,75
having,75
child,74
colours,74
required,74
split,74
whether,74
becoming,73
companies,73
considered,73
following,73
take,73
cent,72
climate,72
home,72
male,72
medical,72
significant,72
changes,71
community,71
food,71
free,71
presidential,71
dismissal,70
does,70
evidence,70
